Nombre,Apellido,Carrera,Edad
Ronaldo,Cornejo,Ciencias,19
Enrique,Postigo,Software,25
Luis,Prado,Software,16
Karim,Samanamud,Sistemas,42
Luiggi,Marin,Sistemas,53
Diego,Vega,Sistemas,53
Carlos,Clemente,Sistemas,10
Junior,Hurtado,Software,24
Johan,Maya,Sistemas,42
Marlon,Coaquira,Administracion,13
Abraham,Garcia,Sistemas,16
Sebastian,Alzamora,Militar,18
Goku,Kakaroto,Peleador,27
Pedrito,Fernandez,Cantante,24
Marcos,Medina,Matematica,11
Evelyn,Cornejo,Civil,10
Luis,Prado,Softwareeee,24
Pedrito,Fernandiiito,Cantautor,11
Jose,Jose,Cantante,23
Lucia,DeLaCruz,NoSexD,33
Chino,Marroquin,Comercio,55
Ronaldo,Nazario,Futbolista,70
Ronaldo,Cristiano,Futbolista,65
Rafael,Cortana,Cantante,50
aea,delatorre,doteero,20
